First,Last,Email Address,GPA
Roy,Hardy,Roy.Hardy@montgomery.edu,3.640
Dylan,Davila,Dylan.Davila@cleeghorn.edu,3.950
Sara,Bradford,Sara.Bradford@montgomery.edu,4.000
Melissa,Davenport,Melissa.Davenport@cleeghorn.edu,3.710
Henry,Trejo,Henry.Trejo@montgomery.edu,3.740
Samantha,Barrett,Samantha.Barrett@montgomery.edu,3.630
Navy,Felix,Navy.Felix@montgomery.edu,3.590
Isabella,Shannon,Isabella.Shannon@cleeghorn.edu,3.750
Doris,Nguyen,Doris.Nguyen@benson.edu,3.680
Beverly,Crosby,Beverly.Crosby@cleeghorn.edu,3.830
Elijah,Anderson,Elijah.Anderson@benson.edu,3.870
Mia,Peck,Mia.Peck@cleeghorn.edu,3.560
Alexis,Dixon,Alexis.Dixon@benson.edu,3.750
Robert,Mcclure,Robert.Mcclure@benson.edu,3.540
Jacob,Wilkinson,Jacob.Wilkinson@montgomery.edu,3.900
Theodore,Person,Theodore.Person@montgomery.edu,3.730
Timothy,Yang,Timothy.Yang@cleeghorn.edu,3.800
Lisa,Hartman,Lisa.Hartman@montgomery.edu,3.750
Barbara,Hammond,Barbara.Hammond@benson.edu,3.610
Vida,Welch,Vida.Welch@montgomery.edu,3.570
Arleth,Perkins,Arleth.Perkins@cleeghorn.edu,3.950
Charlotte,Klein,Charlotte.Klein@montgomery.edu,3.550
Camilo,Brennan,Camilo.Brennan@benson.edu,3.500
Frances,Kaur,Frances.Kaur@cleeghorn.edu,3.560
Bruce,Hill,Bruce.Hill@benson.edu,3.520
Alice,Gordon,Alice.Gordon@montgomery.edu,3.900
Olivia,Pratt,Olivia.Pratt@montgomery.edu,3.550
Jack,Woodward,Jack.Woodward@benson.edu,3.970
Ashley,Atkins,Ashley.Atkins@benson.edu,3.870
Wayne,Zhang,Wayne.Zhang@montgomery.edu,3.680
Zayla,Benitez,Zayla.Benitez@benson.edu,3.910
Nathan,Keller,Nathan.Keller@montgomery.edu,3.730
Frank,Sweeney,Frank.Sweeney@montgomery.edu,3.520
Angela,Humphrey,Angela.Humphrey@montgomery.edu,3.840
Dorothy,Nash,Dorothy.Nash@montgomery.edu,3.600
Emberlynn,Mosley,Emberlynn.Mosley@montgomery.edu,3.670
