First Name,Last Name,Association,Status
Vern,Wells,ECN,Full
Janine,Schwartz,NANS,Full
Camilla,Quintero,ECN,Full
Chong,Tang,NANS,Full
Leila,Walsh,NANS,Retired
Bryon,Mccormick,ECN,Retired
Trenton,Chase,ECN,Student
Patricia,Valencia,ECN,Retired
Meagan,Mcdowell,NANS,Student
Jamison,Spencer,,Nonmember
Helena,Cardenas,NANS,Retired
Wilburn,Dickson,NANS,Retired
Earlene,Savage,NANS,Full
Amie,Valentine,NANS,Retired
Bertie,Summers,NANS,Full
Dorris,Fitzgerald,ECN,Full
Destiny,Gilbert,NANS,Retired
Donovan,Correa,NANS,Retired
Kathie,Wagner,NANS,Full
Jolene,Roach,NANS,Retired
Abigail,Mcclain,,Nonmember
Marta,Stewart,NANS,Full
Stacie,Davis,NANS,Full
Morgan,Parks,NANS,Retired
Brain,Miranda,ECN,Full
Maudie,Hanna,ECN,Full
Gilda,Carpenter,NANS,Full
Claudine,Calhoun,ECN,Retired
Gayle,Garza,ECN,Full
Rubin,Clayton,NANS,Student
Winifred,Waters,ECN,Full
Delois,Frost,NANS,Full
Coleman,Acevedo,ECN,Retired
Chadwick,Mcpherson,ECN,Full
Malinda,Willis,NANS,Retired
Lakeisha,Mckay,ECN,Full
Leigh,Woodard,NANS,Retired
Rosario,Dalton,NANS,Retired
Avis,Sellers,ECN,Retired
Keri,Rivera,ECN,Full
Lilly,Harrington,NANS,Retired
Nathanial,Clay,ECN,Full
Stanton,Rangel,NANS,Student
Polly,Grant,NANS,Full
Katharine,Vega,ECN,Full
Mauricio,Rivas,ECN,Full
Robbin,Li,NANS,Full
Karyn,Bradley,NANS,Student
Arnulfo,Beck,NANS,Retired
Les,Bryan,ECN,Student
Willy,Peters,ECN,Student
Rafaela,Dejesus,NANS,Full
Eleanore,Whitaker,,Nonmember
Margret,Conley,NANS,Full
Shanna,Johnson,ECN,Retired
Winfred,Boyer,ECN,Student
Ebony,Brown,,Nonmember
Lindsey,Jimenez,NANS,Retired
Douglass,Day,NANS,Student
Carlene,Cantu,ECN,Retired
Chrystal,Herring,NANS,Full
Dorthy,Bryant,ECN,Student
Benita,Dudley,ECN,Full
Reta,Houston,ECN,Full
Sybil,Mitchell,ECN,Full
Zelma,Chang,NANS,Student
Zane,Mcmahon,NANS,Retired
Christal,Cannon,NANS,Retired
Doretha,Orozco,,Nonmember
Kitty,Sloan,NANS,Full
Colton,Paul,,Nonmember
Jacquline,Khan,ECN,Full
Marybeth,Cuevas,NANS,Retired
Lino,Xiong,NANS,Full
Morton,Wheeler,ECN,Full
Lorrie,Hawkins,ECN,Full
Therese,Henry,NANS,Full
Ernestina,Bridges,,Nonmember
Corina,Hess,NANS,Full
Columbus,Doyle,ECN,Retired
Roslyn,Gould,NANS,Full
Kendrick,Raymond,NANS,Full
Angeline,Pennington,NANS,Retired
Jasmin,Barnes,NANS,Full
Selena,Fisher,NANS,Full
Belle,Mccullough,NANS,Student
Lucinda,Vance,ECN,Full
Racheal,Knox,NANS,Retired
